Date,Close,Change,Open,High,Low,Volume,Tziros
04/1/2010,4.01,"-2,1951%","4,1","4,11","3,98",150.464,"608.136,54"
05/1/2010,4.18,"4,2394%","3,97","4,2","3,97",294.265,"1.216.994,37"
07/1/2010,4.22,"0,9569%","4,11","4,3","4,11",965.324,"4.067.130,36"
08/1/2010,4.02,"-4,7393%","4,19","4,34","4,02",687.536,"2.825.861,71"
11/1/2010,3.97,"-1,2438%","4,05","4,11","3,97",536.267,"2.160.005,34"
12/1/2010,3.81,"-4,0302%","3,99","4,03","3,76",500.225,"1.945.454,88"
13/1/2010,3.74,"-1,8373%","3,9","3,9","3,71",617.077,"2.335.871,10"
14/1/2010,3.75,"0,2674%","3,74","3,85","3,67",211.809,"795.794,68"
15/1/2010,3.65,"-2,6667%","3,75","3,79","3,6",327.47,"1.210.165,09"
18/1/2010,3.60,"-1,3699%","3,64","3,69","3,53",295.258,"1.059.348,41"
19/1/2010,3.74,"3,8889%","3,6","3,74","3,49",562.082,"2.011.774,14"
20/1/2010,3.51,"-6,1497%","3,7","3,71","3,51",523.704,"1.880.431,32"
21/1/2010,3.44,"-1,9943%","3,51","3,54","3,42",405.224,"1.408.239,14"
22/1/2010,3.38,"-1,7442%","3,42","3,47","3,37",412.278,"1.406.665,94"
25/1/2010,3.43,"1,4793%","3,3","3,48","3,29",1.296.813,"4.424.777,88"
26/1/2010,3.40,"-0,8746%","3,43","3,48","3,38",628.58,"2.152.118,15"
27/1/2010,3.24,"-4,7059%","3,4","3,4","3,22",348.922,"1.161.284,45"
28/1/2010,3.09,"-4,6296%","3,26","3,29","3,09",1.197.207,"3.781.682,61"
29/1/2010,3.20,"3,5599%","3,12","3,2","3,12",501.535,"1.589.235,46"
01/2/2010,3.26,"1,8750%","3,2","3,32","3,17",917.22,"3.000.955,94"
02/2/2010,3.42,"4,9080%","3,23","3,42","3,21",926.463,"3.122.969,84"
03/2/2010,3.54,"3,5088%","3,47","3,6","3,47",1.425.311,"5.025.397,83"
04/2/2010,3.30,"-6,7797%","3,53","3,57","3,3",1.060.210,"3.674.409,98"
05/2/2010,3.28,"-0,6061%","3,29","3,3","3,16",345.215,"1.117.997,35"
08/2/2010,3.28,"0,0000%","3,32","3,38","3,11",777.946,"2.541.019,01"
09/2/2010,3.45,"5,1829%","3,3","3,53","3,24",714.005,"2.423.056,99"
10/2/2010,3.65,"5,7971%","3,65","3,65","3,51",673.564,"2.417.986,11"
11/2/2010,3.51,"-3,8356%","3,6","3,67","3,51",513.67,"1.830.307,87"
12/2/2010,3.58,"1,9943%","3,52","3,65","3,46",388.811,"1.378.549,68"
16/2/2010,3.37,"-5,8659%","3,58","3,58","3,31",637.596,"2.154.560,60"
17/2/2010,3.40,"0,8902%","3,42","3,45","3,34",615.089,"2.087.517,44"
18/2/2010,3.45,"1,4706%","3,38","3,49","3,35",243.424,"833.832,52"
19/2/2010,3.47,"0,5797%","3,4","3,5","3,4",97.072,"335.499,73"
22/2/2010,3.45,"-0,5764%","3,55","3,6","3,44",311.992,"1.100.150,62"
23/2/2010,3.44,"-0,2899%","3,45","3,49","3,37",159.158,"544.747,19"
24/2/2010,3.44,"0,0000%","3,44","3,49","3,39",209.312,"720.072,23"
25/2/2010,3.42,"-0,5814%","3,42","3,45","3,33",246.493,"836.600,93"
26/2/2010,3.47,"1,4620%","3,35","3,5","3,34",163.816,"564.581,17"
01/3/2010,3.55,"2,3055%","3,54","3,59","3,51",228.614,"810.108,23"
02/3/2010,3.60,"1,4085%","3,57","3,64","3,55",228.759,"823.988,12"
03/3/2010,3.59,"-0,2778%","3,6","3,67","3,51",191.824,"689.391,58"
04/3/2010,3.50,"-2,5070%","3,55","3,63","3,5",304.347,"1.084.171,42"
05/3/2010,3.60,"2,8571%","3,54","3,61","3,5",181.382,"645.378,49"
08/3/2010,3.56,"-1,1111%","3,64","3,66","3,56",131.081,"472.604,26"
09/3/2010,3.62,"1,6854%","3,58","3,66","3,54",205.352,"739.508,86"
10/3/2010,3.68,"1,6575%","3,64","3,73","3,6",648.901,"2.390.164,67"
11/3/2010,3.60,"-2,1739%","3,67","3,73","3,55",372.571,"1.348.183,60"
12/3/2010,3.60,"0,0000%","3,62","3,65","3,57",156.134,"563.048,64"
15/3/2010,3.58,"-0,5556%","3,55","3,62","3,55",104.079,"372.302,47"
16/3/2010,3.48,"-2,7933%","3,56","3,57","3,4",279.188,"978.104,96"
17/3/2010,3.45,"-0,8621%","3,5","3,54","3,4",380.247,"1.315.345,52"
18/3/2010,3.30,"-4,3478%","3,41","3,44","3,27",329.462,"1.099.891,07"
