date,close,open,high,low,volume,change
2-Jan-09,931.80,902.99,934.73,899.35,-,3.16%
5-Jan-09,927.45,929.17,936.63,919.53,-,-0.47%
6-Jan-09,934.70,931.17,943.85,927.28,-,0.78%
7-Jan-09,906.65,927.45,927.45,902.37,-,-3.00%
8-Jan-09,909.73,905.73,910,896.81,-,0.34%
9-Jan-09,890.35,909.91,911.93,888.31,-,-2.13%
12-Jan-09,870.26,890.4,890.4,864.32,-,-2.26%
13-Jan-09,871.79,869.79,877.02,862.02,-,0.18%
14-Jan-09,842.62,867.28,867.28,836.93,-,-3.35%
15-Jan-09,843.74,841.99,851.59,817.04,-,0.13%
16-Jan-09,850.12,844.45,858.13,830.66,-,0.76%
20-Jan-09,805.22,849.64,849.64,804.47,-,-5.28%
21-Jan-09,840.24,806.77,841.72,804.3,-,4.35%
22-Jan-09,827.50,839.74,839.74,811.29,-,-1.52%
23-Jan-09,831.95,822.16,838.61,806.07,-,0.54%
26-Jan-09,836.57,832.5,852.53,827.69,-,0.56%
27-Jan-09,845.71,837.3,850.45,835.4,-,1.09%
28-Jan-09,874.09,845.73,877.86,845.73,-,3.36%
29-Jan-09,845.14,868.89,868.89,844.15,-,-3.31%
30-Jan-09,825.88,845.69,851.66,821.67,-,-2.28%
2-Feb-09,825.44,823.09,830.78,812.87,-,-0.05%
3-Feb-09,838.51,825.69,842.6,821.98,-,1.58%
4-Feb-09,832.23,837.77,851.85,829.18,-,-0.75%
5-Feb-09,845.85,831.75,850.55,819.91,-,1.64%
6-Feb-09,868.60,846.09,870.75,845.42,-,2.69%
9-Feb-09,869.89,868.24,875.01,861.65,-,0.15%
10-Feb-09,827.16,866.87,868.05,822.99,-,-4.91%
11-Feb-09,833.74,827.41,838.22,822.3,-,0.80%
12-Feb-09,835.19,829.91,835.48,808.06,-,0.17%
13-Feb-09,826.84,833.95,839.43,825.21,-,-1.00%
17-Feb-09,789.17,818.61,818.61,789.17,-,-4.56%
18-Feb-09,788.42,791.06,796.17,780.43,-,-0.10%
19-Feb-09,778.94,787.91,797.58,777.03,-,-1.20%
20-Feb-09,770.05,775.87,778.69,754.25,-,-1.14%
23-Feb-09,743.33,773.25,777.85,742.37,-,-3.47%
24-Feb-09,773.14,744.69,775.49,744.69,-,4.01%
25-Feb-09,764.90,770.64,780.12,752.89,-,-1.07%
26-Feb-09,752.83,765.76,779.42,751.75,-,-1.58%
27-Feb-09,735.09,749.93,751.27,734.52,-,-2.36%
2-Mar-09,700.82,729.57,729.57,699.7,-,-4.66%
3-Mar-09,696.33,704.44,711.67,692.3,-,-0.64%
4-Mar-09,712.87,698.6,724.12,698.6,-,2.38%
